equipo,foto,nombe,dorsal,idPlayer,team_code
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1676845,Diego Alderete Diaz,12,1676845,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1382456,Victor Jesus Arteaga Gonzalez,77,1382456,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=2785180,Jalen Christopher Cone,-,2785180,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=2371571,Jordan Deangelo Davis,-,2371571,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1759354,Golden Nnaemeka Dike Egun,10,1759354,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1496030,Pol Figueras Lopez,7,1496030,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=2003549,Jose David Gomez Gomez,8,2003549,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1381662,Sergio Antonio Llorente Paz,-,1381662,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=2735842,Marko Lukovic,33,2735842,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=2781800,Sean William Mc Donnell,-,2781800,950650
HESTIA MENORCA,https://imagenes.feb.es/Foto.aspx?c=1784407,Pol Molins Calderon,15,1784407,950650
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2325671,Ayoze Alonso Ruiz,60,2325671,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2644143,Caio De Souza Pacheco,9,2644143,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=1541543,Jacobo Diaz Alejano,50,1541543,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2734726,Lance Jalen Jones,55,2734726,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=1938697,Jaume Lobo Martorell,3,1938697,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=1958225,Jordi Rodriguez Stegemeijer,1,1958225,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=1625687,Rodrigo Seoane Rodicio,35,1625687,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2524301,Djordje Simeunovic,29,2524301,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2735006,Morayoninuoluwa Chukwuemeka Soluade,6,2735006,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=2164262,Abdou Thiam,44,2164262,950726
GRUPO URETA TIZONA BURGOS,https://imagenes.feb.es/Foto.aspx?c=1572466,Ramon Vila Soley,13,1572466,950726
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2082685,Manex Ansorregui Deba,10,2082685,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2736767,Mateo Diaz,7,2736767,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2734467,Xavier Trent Johnson,2,2734467,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=1432499,Ander Martinez De La Orden,13,1432499,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2734268,Jakub Mokran,18,2734268,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=1447983,Mikel Motos Cabodevilla,-,1447983,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2789772,Marinus Lucas N´Guessan,-,2789772,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=1988355,Javier Nicolau Aledon,12,1988355,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2219810,Mads Bonde Stürup,8,2219810,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=2640789,Josip Vrankic,5,2640789,950759
INVEREADY GIPUZKOA,https://imagenes.feb.es/Foto.aspx?c=1749125,Aitor Zubizarreta Aranbarri,6,1749125,950759
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2446631,Prince Adams Ali,-,2446631,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=1869762,Gonzalo Bressan,12,1869762,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2557720,Marcos Garcia Rosello,-,2557720,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2785807,Mindaugas Kacinas,-,2785807,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2734617,Jordan James King,2,2734617,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2433482,Kevin Ricki Larsen,21,2433482,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=1124596,Alejandro Lopez Laz,25,1124596,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2734637,Roger Duclos Bertin Moute A Bidias,11,2734637,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=2734619,Jean Marc Mwema,8,2734619,950779
HLA ALICANTE,https://imagenes.feb.es/Foto.aspx?c=1957913,Adria Rodriguez Juan,13,1957913,950779
