"","id_match","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5","quarter","scoreA","scoreB","time","time_remaining","time_play","num","team","equipo","home_team","away_team","play","jug","playerOut","playerIn","stat_faltas","stat_faltas_equipo","stat_tiros_libres","stat_rebotes","stat_asistencias","stat_puntos","stat_perdidas","stat_tapones","player_asist","player_shoot","type_assist"
"1",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",1,1,"HLA ALICANTE","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","G. Bressan",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"2",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",2,1,"HLA ALICANTE","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","J. King",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"3",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",3,1,"HLA ALICANTE","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","R. Moute A Bidias",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"4",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",4,1,"HLA ALICANTE","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","J. Mwema",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"5",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",5,1,"HLA ALICANTE","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","K. Larsen",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"6",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",6,2,"UEMC REAL VALLADOLID BALONCESTO","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","A. Egekeze",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"7",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",7,2,"UEMC REAL VALLADOLID BALONCESTO","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","N. Hoover",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"8",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",8,2,"UEMC REAL VALLADOLID BALONCESTO","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","J. Puidet",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"9",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",9,2,"UEMC REAL VALLADOLID BALONCESTO","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","A. Sans Valls",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
"10",2411822,"G. Bressan","J. King","R. Moute A Bidias","J. Mwema","K. Larsen","A. Egekeze","N. Hoover","J. Puidet","A. Sans Valls","V. Vucetic",1,0,0,"00:00","10:00","00:00",10,2,"UEMC REAL VALLADOLID BALONCESTO","HLA ALICANTE","UEMC REAL VALLADOLID BALONCESTO","entra a pista","V. Vucetic",NA,NA,0,0,0,"0","0","0","0","0"," "," "," "
